OTU#,Genus RDP,Kingdom,Phylum,Class ,Order,Family,Genus ,Species,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
OTU36,Acidobacteria_Acidobacteria_Gp1_Granulicella_Granulicella_unknown_Granulicella,Acidobacteria,Acidobacteria,Gp1,Granulicella,Granulicella,unknown,Granulicella,0.000100386,0,0,0,0,0,0,0,0,0,0,0
OTU37,Acidobacteria_Acidobacteria_Gp1_Telmatobacter_Telmatobacter_Telmatobacter,Acidobacteria,Acidobacteria,Gp1,Telmatobacter,Telmatobacter,Telmatobacter,,0,0,0,0,0,0,0,0,0,0,0.000249252,0
OTU38,Acidobacteria_Acidobacteria_Gp1_Telmatobacter_Telmatobacter_other_Telmatobacter,Acidobacteria,Acidobacteria,Gp1,Telmatobacter,Telmatobacter,other,Telmatobacter,0.000326256,0.000260793,0.000256674,0,0.000134318,0.000178742,0.000292711,0.000132121,0.000108966,0.000114409,0.000213645,0.000247525
OTU39,Acidobacteria_Acidobacteria_Gp1_Telmatobacter_Telmatobacter_unknown_Telmatobacter,Acidobacteria,Acidobacteria,Gp1,Telmatobacter,Telmatobacter,unknown,Telmatobacter,0.000828189,0.001524635,0.000793354,0.000206384,0.000349228,0.000297903,0.000804957,0.000713455,0.000523035,0.000503398,0.002207663,0.001072607
OTU40,Acidobacteria_Acidobacteria_Gp1_Terriglobus_Terriglobus_Terriglobus,Acidobacteria,Acidobacteria,Gp1,Terriglobus,Terriglobus,Terriglobus,,0,0,0,0.000137589,0,0.000119161,0,0,0,0.000114409,0,0.000247525
OTU41,Acidobacteria_Acidobacteria_Gp22_Gp22_Gp22_Gp22,Acidobacteria,Acidobacteria,Gp22,Gp22,Gp22,Gp22,,0.001756764,0.000501525,0.001166698,0.00190332,0.001343183,0.001191611,0.002073373,0.001691153,0.001372968,0.001395785,0,0.000990099
OTU42,Acidobacteria_Acidobacteria_Gp24_Gp24_Gp24_Gp24,Acidobacteria,Acidobacteria,Gp24,Gp24,Gp24,Gp24,,0,0.002507623,0,0,0,0,0,0,0,0,0,0
OTU43,Acidobacteria_Acidobacteria_Gp25_Gp25_Gp25_Gp25,Acidobacteria,Acidobacteria,Gp25,Gp25,Gp25,Gp25,,0.00022587,0.000381159,0.000140004,0.000229316,0.000214909,0.000268112,0,0,0.000108966,0.000160172,0,0
OTU44,Acidobacteria_Acidobacteria_Gp2_Gp2_Gp2_Gp2,Acidobacteria,Acidobacteria,Gp2,Gp2,Gp2,Gp2,,0.019901621,0.070353876,0.005110136,0.01050266,0.006877099,0.009771211,0.006756757,0.00594546,0.00679946,0.007573851,0.063238855,0.006848185
OTU45,Acidobacteria_Acidobacteria_Gp2_Gp2_Gp2_unknown_Gp2,Acidobacteria,Acidobacteria,Gp2,Gp2,Gp2,unknown,Gp2,0.00022587,0.000802439,0,0.000275179,0.000134318,0.000238322,0.000170748,0.000158546,0,0.000251699,0.0023857,0
